user_id,signup_date,archetype,country,device,lead_source,plan,mrr,is_retained_90d,subscription_start,subscription_end,days_to_churn,data_quality_score
0,2025-02-15 03:38:37.374469,casual_explorer,NL,tablet,partner,basic,29,True,2025-02-15 11:47:08.552085,,,0.66
1,2025-01-31 04:02:35.200366,power_user,CA,tablet,google_ads,enterprise,299,False,2025-02-02 17:29:21.620992,2025-02-25 06:02:53.138889232,25.083540955130044,0.98
2,2025-03-14 19:50:28.527936,power_user,JP,desktop,partner,pro,99,True,2025-03-15 22:59:13.333076,,,0.72
3,2025-01-03 06:05:03.949231,bounce_visitor,DE,mobile_web,referral,free,0,False,2025-01-05 01:09:52.765073,2025-01-25 09:07:14.805742657,22.126514542958958,0.62
4,2025-01-03 19:18:21.782563,bounce_visitor,AU,ios,referral,free,0,False,2025-01-09 12:08:39.483243,2025-02-14 13:26:50.373352528,41.7558864674714,0.83
5,2025-01-01 05:47:39.231448,casual_explorer,FR,mobile_web,referral,free,0,True,2025-01-01 12:02:29.537475,,,0.8
6,2025-02-06 00:09:08.062061,power_user,NL,mobile_web,google_ads,business,199,True,2025-02-07 02:43:39.881243,,,0.68
7,2025-01-01 11:27:10.988837,bounce_visitor,UK,ios,referral,free,0,False,2025-01-07 02:05:51.304491,2025-01-07 17:12:38.271877089,6.239899109260268,0.96
8,2025-02-08 05:47:48.251533,bounce_visitor,NL,desktop,referral,free,0,False,2025-02-08 08:01:05.775204,2025-02-19 20:01:16.794206675,11.592691466130487,0.73
9,2025-01-05 17:57:42.334399,casual_explorer,NL,ios,organic,free,0,False,2025-01-06 09:47:32.265174,2025-01-19 00:46:15.602071282,13.283718375836628,0.82
10,2025-01-25 07:22:26.740124,engaged_free,SE,web,organic,free,0,False,2025-01-25 18:00:28.755443,2025-02-07 03:23:11.640495082,12.833853013554155,0.6
11,2025-01-19 09:45:16.295974,support_heavy,DE,web,linkedin,free,0,False,2025-01-19 13:26:49.673055,2025-01-27 21:17:38.092545339,8.480807830686812,0.74
12,2025-01-30 19:52:14.324869,engaged_free,US,desktop,partner,basic,29,False,2025-02-02 10:38:55.260337,2025-03-27 12:16:41.032624617,55.68364245087525,0.86
13,2025-01-10 14:03:49.708856,support_heavy,DE,web,partner,free,0,False,2025-01-12 05:36:37.467972,2025-01-16 08:37:31.000329622,5.773394577240977,0.91
14,2025-01-12 02:17:03.775055,casual_explorer,JP,ios,referral,basic,29,True,2025-01-12 07:45:51.907856,,,0.61
15,2025-01-06 15:51:46.134598,bounce_visitor,FR,desktop,partner,free,0,False,2025-01-07 05:37:34.603210,2025-01-10 09:59:28.670482420,3.7553534245881863,0.76
16,2025-01-04 21:31:47.483365,bounce_visitor,AU,android,linkedin,free,0,False,2025-01-05 05:58:07.167714,2025-01-25 00:02:16.239112120,20.104499487813932,0.97
