invoice_id,customer_id,user_id,subscription_id,amount_due,amount_paid,currency,status,created,due_date,paid_at,period_start,period_end,attempt_count,next_payment_attempt
in_1a980ee64fb1c3,cus_6c937303c2ffd7,1,sub_b752d1ae6f799e,29876,29876,USD,paid,2025-02-23 06:22:24.770962,2025-02-27 00:22:24.770962,2025-02-24 00:22:24.770962,2025-02-21 00:22:24.770962,2025-03-26 00:22:24.770962,3,
in_cd2e7d14f35b99,cus_8c5425711875b4,2,sub_d37a66a584ce60,9900,9900,GBP,paid,2025-03-23 13:54:57.448947,2025-03-30 13:54:57.448947,2025-03-24 13:54:57.448947,2025-03-21 13:54:57.448947,2025-04-23 13:54:57.448947,1,
in_71f12bf9e097d4,cus_8c5425711875b4,2,sub_d37a66a584ce60,9556,9556,GBP,paid,2025-04-02 00:09:48.350883,2025-04-03 16:09:48.350883,2025-04-02 16:09:48.350883,2025-03-30 16:09:48.350883,2025-05-02 16:09:48.350883,3,
in_f60d720abaa1cc,cus_8c5425711875b4,2,sub_d37a66a584ce60,9900,9900,usd,paid,2025-04-06 11:56:18.558166,2025-04-14 06:56:18.558166,2025-04-07 06:56:18.558166,2025-04-04 06:56:18.558166,2025-05-07 06:56:18.558166,3,
in_47d657eb551303,cus_8c5425711875b4,2,sub_d37a66a584ce60,9900,9900,eur,paid,2025-05-06 18:56:18.558166,2025-05-09 07:56:18.558166,2025-05-07 07:56:18.558166,2025-05-05 07:56:18.558166,2025-06-06 07:56:18.558166,1,
in_9b80ad70ead45c,cus_8c5425711875b4,2,sub_d37a66a584ce60,9900,9900,usd,paid,2025-06-05 19:56:18.558166,2025-06-10 07:56:18.558166,2025-06-06 07:56:18.558166,2025-06-05 07:56:18.558166,2025-07-06 07:56:18.558166,1,
in_d893c42c88b05c,cus_8c5425711875b4,2,sub_d37a66a584ce60,9900,9900,gbp,paid,2025-07-06 09:56:18.558166,2025-07-10 13:56:18.558166,2025-07-06 13:56:18.558166,2025-07-06 13:56:18.558166,2025-08-05 13:56:18.558166,1,
in_17a030e3c82976,cus_e84b8de42d9e8d,19,sub_6f7baf002829f7,29900,0,Eur,open,2025-02-07 16:26:19.943598,2025-02-11 18:26:19.943598,,2025-02-05 18:26:19.943598,2025-03-09 18:26:19.943598,1,2025-02-09 18:26:19.943598
in_579ed63fd0b7e0,cus_e84b8de42d9e8d,19,sub_6f7baf002829f7,31214,31214,Eur,paid,2025-02-10 19:12:08.734856,2025-02-13 10:12:08.734856,2025-02-11 10:12:08.734856,2025-02-07 10:12:08.734856,2025-03-13 10:12:08.734856,1,
in_0e09492247bdff,cus_b91855370b0f79,21,sub_8ef595707976db,29900,29900,Eur,paid,2025-01-08 10:03:43.486122,2025-01-10 18:03:43.486122,2025-01-08 18:03:43.486122,2025-01-06 18:03:43.486122,2025-02-07 18:03:43.486122,3,
in_4548bc4a0aeb80,cus_b91855370b0f79,21,sub_8ef595707976db,29900,29900,USD,paid,2025-02-06 23:03:43.486122,2025-02-08 10:03:43.486122,2025-02-07 10:03:43.486122,2025-02-04 10:03:43.486122,2025-03-09 10:03:43.486122,1,
in_aa69dd077d1abe,cus_b91855370b0f79,21,sub_8ef595707976db,29900,29900,gbp,paid,2025-03-09 17:03:43.486122,2025-03-09 18:03:43.486122,2025-03-09 18:03:43.486122,2025-03-09 18:03:43.486122,2025-04-08 18:03:43.486122,1,
in_f2117822bcc952,cus_b91855370b0f79,21,sub_8ef595707976db,29900,29900,GBP,paid,2025-04-07 13:03:43.486122,2025-04-14 07:03:43.486122,2025-04-08 07:03:43.486122,2025-04-08 07:03:43.486122,2025-05-08 07:03:43.486122,1,
in_0cbca66ac51c5e,cus_b91855370b0f79,21,sub_8ef595707976db,29900,29900,Eur,paid,2025-05-08 05:03:43.486122,2025-05-13 01:03:43.486122,2025-05-09 01:03:43.486122,2025-05-07 01:03:43.486122,2025-06-08 01:03:43.486122,1,
in_0f1bfb29428003,cus_d121c20811bde0,28,sub_15c8f0b54ea263,2900,2900,Eur,paid,2025-03-04 03:07:55.257430,2025-03-10 17:07:55.257430,2025-03-04 17:07:55.257430,2025-03-02 17:07:55.257430,2025-04-03 17:07:55.257430,3,
in_d584c8f27bf4de,cus_d121c20811bde0,28,sub_15c8f0b54ea263,2900,2900,Eur,paid,2025-04-03 10:07:55.257430,2025-04-11 00:07:55.257430,2025-04-04 00:07:55.257430,2025-04-03 00:07:55.257430,2025-05-04 00:07:55.257430,1,
in_d50bdb92a9470f,cus_dd6242edcbe24c,34,sub_ca087f403a7ec2,4900,0,GBP,uncollectible,2025-03-03 01:52:16.686235,2025-03-08 07:52:16.686235,,2025-02-27 07:52:16.686235,2025-04-02 07:52:16.686235,2,2025-03-10 07:52:16.686235
in_7a14afaf056fc9,cus_dd6242edcbe24c,34,sub_ca087f403a7ec2,4900,4900,gbp,paid,2025-03-02 18:58:06.602371,2025-03-07 09:58:06.602371,2025-03-03 09:58:06.602371,2025-02-27 09:58:06.602371,2025-04-02 09:58:06.602371,2,
in_6bc8cd7300f82d,cus_dd6242edcbe24c,34,sub_ca087f403a7ec2,4900,4900,eur,paid,2025-04-02 03:58:06.602371,2025-04-06 13:58:06.602371,2025-04-02 13:58:06.602371,2025-03-30 13:58:06.602371,2025-05-02 13:58:06.602371,1,
in_2c33a5fbdedb70,cus_dd6242edcbe24c,34,sub_ca087f403a7ec2,4900,0,Eur,open,2025-05-01 19:58:06.602371,2025-05-02 23:58:06.602371,,2025-04-29 23:58:06.602371,2025-05-31 23:58:06.602371,3,2025-05-08 23:58:06.602371
in_ee4bac3c3169ce,cus_dd6242edcbe24c,34,sub_ca087f403a7ec2,4900,4900,usd,paid,2025-05-31 14:58:06.602371,2025-06-07 04:58:06.602371,2025-06-01 04:58:06.602371,2025-05-31 04:58:06.602371,2025-07-01 04:58:06.602371,1,
in_919feaa6c93fb1,cus_086d693e6d14e1,36,sub_6fc2f90a11f449,9900,9900,usd,paid,2025-02-10 16:21:14.965599,2025-02-13 22:21:14.965599,2025-02-10 22:21:14.965599,2025-02-08 22:21:14.965599,2025-03-12 22:21:14.965599,3,
in_ab04ad73cc866a,cus_086d693e6d14e1,36,sub_6fc2f90a11f449,9900,9900,usd,paid,2025-03-11 16:21:14.965599,2025-03-15 14:21:14.965599,2025-03-12 14:21:14.965599,2025-03-12 14:21:14.965599,2025-04-11 14:21:14.965599,1,
in_b98d8818d82a8e,cus_086d693e6d14e1,36,sub_6fc2f90a11f449,9900,9900,GBP,paid,2025-04-12 03:21:14.965599,2025-04-13 09:21:14.965599,2025-04-12 09:21:14.965599,2025-04-12 09:21:14.965599,2025-05-12 09:21:14.965599,1,
