subscription_id,customer_id,user_id,plan_id,plan_amount,plan_currency,plan_interval,status,created,current_period_start,current_period_end,cancel_at_period_end,canceled_at,trial_start,trial_end,metadata
sub_b752d1ae6f799e,cus_6c937303c2ffd7,1,price_ddfb82cead42bd,29900,GBP,month,unpaid,2025-02-23 23:55:24.770962,2025-02-24 00:22:24.770962,2025-03-26 00:22:24.770962,False,,2025-02-14 00:22:24.770962,2025-02-24 00:22:24.770962,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_d37a66a584ce60,cus_8c5425711875b4,2,price_5f48f2c512acac,9900,USD,month,active,2025-03-24 13:42:57.448947,2025-03-24 13:54:57.448947,2025-04-23 13:54:57.448947,False,,,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_6f7baf002829f7,cus_e84b8de42d9e8d,19,price_9bb82d0e75aa7f,29900,eur,month,unpaid,2025-02-07 18:24:19.943598,2025-02-07 18:26:19.943598,2025-03-09 18:26:19.943598,False,,,,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_8ef595707976db,cus_b91855370b0f79,21,price_a201898515af92,29900,Eur,month,active,2025-01-08 17:56:43.486122,2025-01-08 18:03:43.486122,2025-02-07 18:03:43.486122,False,,,,"{""source"": ""partner"", ""archetype"": ""enterprise_evaluator""}"
sub_15c8f0b54ea263,cus_d121c20811bde0,28,price_01d471111cc187,2900,eur,month,active,2025-03-04 16:55:55.257430,2025-03-04 17:07:55.257430,2025-04-03 17:07:55.257430,False,,,,"{""source"": ""direct"", ""archetype"": ""engaged_free""}"
sub_ca087f403a7ec2,cus_dd6242edcbe24c,34,price_4d5dc80f078832,4900,GBP,month,active,2025-03-03 07:41:16.686235,2025-03-03 07:52:16.686235,2025-04-02 07:52:16.686235,False,,,2025-03-03 07:52:16.686235,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_6fc2f90a11f449,cus_086d693e6d14e1,36,price_206ae1f4608026,9900,Eur,year,active,2025-02-10 22:13:14.965599,2025-02-10 22:21:14.965599,2025-03-12 22:21:14.965599,False,,,2025-02-10 22:21:14.965599,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_e4a60f50e2c0fb,cus_5fa58534ceb7fb,53,price_4f1762a06781e6,29900,GBP,month,active,2025-02-17 01:39:00.912354,2025-02-17 01:55:00.912354,2025-03-19 01:55:00.912354,False,,2025-02-08 01:55:00.912354,2025-02-17 01:55:00.912354,"{""source"": ""google_ads"", ""archetype"": ""enterprise_evaluator""}"
sub_5428bdda633a12,cus_d1d8ad7b0aaeb9,58,price_070905f2f5653f,4900,Eur,month,canceled,2025-01-28 07:58:13.543456,2025-01-28 08:22:13.543456,2025-02-27 08:22:13.543456,True,2025-02-03 01:00:39.861960,2025-01-21 08:22:13.543456,,"{""source"": ""referral"", ""archetype"": ""engaged_free""}"
sub_6634f8af42b005,cus_f0e561650738c3,63,price_cd7c2c333dd327,19900,gbp,month,active,2025-01-26 12:13:51.022274,2025-01-26 12:17:51.022274,2025-02-25 12:17:51.022274,False,,,,"{""source"": ""google_ads"", ""archetype"": ""enterprise_evaluator""}"
